,highly_variable
LINC00115,False
NOC2L,False
HES4,True
ISG15,True
C1orf159,False
TNFRSF18,True
TNFRSF4,True
SDF4,False
B3GALT6,False
UBE2J2,False
ACAP3,False
PUSL1,False
CPSF3L,False
GLTPD1,False
DVL1,False
MXRA8,False
AURKAIP1,False
CCNL2,False
RP4-758J18.2,False
MRPL20,False
ATAD3C,False
ATAD3B,False
ATAD3A,False
SSU72,False
AL645728.1,False
RP11-345P4.9,False
MIB2,False
MMP23B,True
CDK11B,False
SLC35E2B,False
CDK11A,False
SLC35E2,False
NADK,False
GNB1,False
PRKCZ,False
C1orf86,False
SKI,False
RER1,False
PEX10,False
PANK4,False
RP3-395M20.12,False
TNFRSF14,False
RP3-395M20.9,False
FAM213B,False
MMEL1,False
MEGF6,False
TPRG1L,False
WRAP73,False
TP73-AS1,False
SMIM1,False
LRRC47,False
CEP104,False
DFFB,False
C1orf174,False
KCNAB2,False
RPL22,False
ICMT,False
ACOT7,False
RP1-202O8.3,False
ESPN,False
TNFRSF25,False
NOL9,False
ZBTB48,False
KLHL21,False
PHF13,False
THAP3,False
DNAJC11,False
CAMTA1,False
VAMP3,False
PER3,False
UTS2,True
PARK7,False
RERE,False
ENO1,False
ENO1-AS1,False
CA6,True
H6PD,False
SPSB1,False
SLC25A33,False
PIK3CD,False
CLSTN1,False
CTNNBIP1,False
LZIC,False
NMNAT1,False
RBP7,True
UBE4B,False
KIF1B,True
PGD,False
APITD1,False
DFFA,False
PEX14,False
TARDBP,False
SRM,False
EXOSC10,False
MTOR,False
UBIAD1,False
FBXO2,False
FBXO44,False
FBXO6,False
MAD2L2,False
DRAXIN,True
AGTRAP,False
MTHFR,False
CLCN6,False
KIAA2013,False
PLOD1,False
MFN2,False
MIIP,False
TNFRSF8,False
TNFRSF1B,False
VPS13D,False
DHRS3,False
PRDM2,False
EFHD2,True
CASP9,False
DNAJC16,False
AGMAT,False
DDI2,False
PLEKHM2,False
RP11-169K16.9,False
SPEN,False
ZBTB17,False
ARHGEF19,False
RSG1,False
FBXO42,False
SZRD1,False
NECAP2,False
NBPF1,False
CROCCP2,False
CROCC,False
RP11-108M9.4,False
RP11-108M9.6,False
ATP13A2,False
SDHB,False
PADI4,False
RCC2,False
IFFO2,False
UBR4,True
RP1-43E13.2,True
EMC1,False
MRTO4,False
AKR7A2,False
PQLC2,False
CAPZB,False
MINOS1,False
NBL1,False
TMCO4,False
OTUD3,False
UBXN10-AS1,False
MUL1,False
CDA,False
PINK1,False
PINK1-AS,False
DDOST,False
HP1BP3,False
EIF4G3,True
ECE1,False
USP48,False
LINC00339,False
CDC42,False
ZBTB40,False
C1QA,True
C1QB,True
KDM1A,False
LUZP1,True
HNRNPR,False
C1orf213,False
TCEA3,False
ID3,True
MDS2,False
RPL11,False
TCEB3,True
RP5-886K2.3,False
PITHD1,False
LYPLA2,False
GALE,False
HMGCL,False
FUCA1,False
CNR2,False
SRSF10,False
STPG1,False
NIPAL3,False
RCAN3,False
RP4-594I10.3,False
SRRM1,False
RUNX3,True
SYF2,False
C1orf63,False
RP3-465N24.6,False
TMEM50A,False
TMEM57,False
LDLRAP1,False
RP11-70P17.1,False
MAN1C1,False
SEPN1,False
MTFR1L,False
STMN1,True
PAFAH2,True
PDIK1L,False
ZNF593,False
CEP85,False
SH3BGRL3,False
UBXN11,False
CD52,False
AIM1L,False
